,x,y,z,t,PRP2.1,PRP2.1_inph,HCP2.0,HCP2.0_inph,PRP1.1,PRP1.1_inph,HCP1.0,HCP1.0_inph,PRP0.6,PRP0.6_inph,HCP0.5,HCP0.5_inph,ID,x_query,y_query,pH_H2O_10cm,CEC_10cm,clay_10cm,silt_10cm,sand_10cm,TOC_10cm,bd_10cm,pH_H2O_50cm,CEC_50cm,clay_50cm,silt_50cm,sand_50cm,TOC_50cm,bd_50cm,vmc_hydra_10cm,EC_bulk_hydra_10cm,EC_water_hydra_10cm,gwc_10cm,vwc_10cm,depth_to_clay_(cm)
0,107720.4496,183327.0105,25.33675408,42004.503,43.39935371,-0.625352433,47.89043181,1.099393559,34.35309506,0.695937249,47.1533125,0.864183203,18.54378672,0.916930873,25.98075265,0.838949621,1,107720.118,183326.96,6.6,15.16,22.84,42.132,35.028,19.3,1.57,6.86,28.088,54.928,34.73,10.343,,1.46,38.5,0.64,2.15,27.4,47.4,
1,107755.0524,183330.8095,26.10873193,44512.09652,34.12249329,-0.635327524,46.15050235,1.216335732,18.1519393,0.723087114,36.96665936,0.887786718,9.285520285,0.927752952,14.38969958,0.855174895,2,107755.589,183331.1,6.36,6.33,10.27,50.16,39.569,12.2,1.61,6.77,7.12,14.82,52.238,32.942,,,42.7,0.71,2.03,21.8,34.3,
2,107798.3699,183279.2791,27.65632383,44797.998,85.49735448,-1.033413028,101.0356559,1.541673656,54.05128407,0.621639615,90.76266907,0.928699401,28.65806191,0.896902753,50.99416564,0.845441398,3,107797.402,183278.579,6.6,9.75,14.066,45.87,40.063,17.2,1.38,7.37,21.549,37.307,28.79,33.903,,,32.7,0.23,1,24.8,44.4,
3,107763.2192,183317.852,26.50952428,44517.5209,25.06211493,-0.52848132,41.6496266,1.185903579,13.99398498,0.757028755,29.56525501,0.888595092,7.693490383,0.938031051,10.77294442,0.856093545,4,107763.816,183318.112,6.33,5.8,11.237,47.195,41.568,12.8,1.45,6.79,6.41,14.739,45.399,39.861,,,37.4,0.39,1.37,22.8,45.0,
4,107722.7614,183308.9255,25.82369679,41673.18132,52.14277227,-0.314988662,48.87717845,1.166635115,40.78455099,0.777991991,54.58485547,0.871880857,23.41330509,0.93456615,33.02237439,0.836286606,5,107723.005,183309.182,6.6,16.57,26.081,39.904,34.015,23,1.41,7.13,32.962,60.946,33.328,5.725,,,30.1,0.2,0.98,29.3,52.9,
5,107742.6508,183330.2591,25.91850144,43864.41091,47.89193428,-0.302117302,53.53203577,1.170857022,32.76662774,0.782720657,52.78669658,0.866680952,17.3538404,0.931148341,28.43375783,0.839602112,6,107742.651,183330.207,6.5,9.941,15.97,45.215,38.815,16.8,1.37,6.99,14.162,26.589,43.811,29.6,,1.17,39.7,0.63,2.01,27.2,51.9,
6,107805.4945,183273.7743,27.86010005,44958.51979,71.06580557,-0.966286067,98.42558543,1.540470837,37.45448088,0.660644465,77.99721977,0.949041855,17.9769934,0.91312666,37.83957544,0.864566697,7,107805.822,183273.987,6.56,9.868,15.173,44.224,40.602,17.8,1.46,7.32,7.422,14.696,28.668,56.637,,,34.9,0.39,1.53,25.4,44.9,
7,107758.1587,183312.2093,26.53666614,44225.80191,25.8408388,-0.819183678,43.30360809,1.219289277,15.01348424,0.700367245,32.31624812,0.902205123,7.875114529,0.929922495,12.50025147,0.843587463,8,107758.685,183312.601,7.23,6.785,12.324,45.037,42.639,15.5,1.29,6.33,7.612,16.873,46.152,36.975,,1.7,30.7,0.3,1.43,24.4,39.4,
8,107776.7759,183310.7172,26.80424717,44785.00101,60.15482559,-0.721336372,70.27933115,1.282454328,36.9729048,0.712534527,63.49033403,0.908397139,17.2854595,0.91708259,32.08652729,0.84471654,9,107776.692,183310.756,6.56,6.147,11.631,49.871,38.498,12.5,1.42,7.24,8.751,18.018,45.765,36.217,,1.31,32.9,0.26,1.12,25.6,47.6,
9,107726.0691,183318.5035,25.75872074,41995.97717,60.59935371,-0.585352433,55.09043181,1.169393559,49.85309506,0.715937249,61.9533125,0.874183203,28.74378672,0.906930873,39.18075265,0.838949621,10,107726.371,183318.719,6.56,15.774,25.914,38.833,35.253,25.9,1.33,7.19,33.2,64.061,30.681,5.259,5.4,,45.9,0.86,2.19,28.7,45.1,
10,107764.7421,183326.8998,26.31491773,44777.51893,28.15155517,-0.091280004,43.3777487,1.222548206,15.57192188,0.832543008,33.48980591,0.918382674,8.285378083,0.917086286,12.98778713,0.854694998,11,107766.469,183327.314,6.19,5.176,11.694,49.72,38.585,14.2,1.43,6.75,4.891,12.692,54.808,32.5,,1.61,32.7,0.24,1.04,22.3,36.7,
11,107776.5282,183299.1163,27.0561231,44525.61474,62.76285359,-0.30633222,79.67895967,1.355725266,34.44343875,0.789853248,64.72870233,0.898978847,16.19251047,0.938162497,31.30727523,0.846839338,12,107777.021,183299.37,6.49,7.247,12.271,47.864,39.866,13.7,1.44,7.24,8.064,16.931,50.535,32.534,,1.64,35.6,0.3,1.14,25.9,46.9,
12,107753.1296,183299.3259,26.65648572,43515.51399,53.79031926,-0.404701074,59.12855369,1.301402877,36.42766851,0.768544916,56.99300646,0.903225232,18.37971372,0.939840161,30.41938713,0.836879012,13,107752.33,183298.809,6.6,11.743,20.303,39.878,39.819,19,1.4,7.34,19.254,32.385,27.489,40.126,,,38,0.48,1.64,27.3,47.7,
13,107733.3914,183327.6929,25.75595426,43526.98805,49.86147855,-0.462967005,56.0799718,1.180499405,26.52685513,0.762877183,50.31940887,0.863407522,11.57954179,0.94093704,22.62764235,0.837236239,14,107732.66,183327.436,6.79,13.421,22.237,38.55,39.213,18.9,1.45,6.92,7.14,12.707,11.525,75.767,,1.85,33.8,0.43,1.77,25.4,44.9,
14,107775.7687,183290.8517,27.16809008,44300.51689,67.73610394,-0.480809363,86.60405846,1.386569273,40.73008398,0.740507799,74.14924882,0.898287267,20.44879989,0.931481903,38.53435039,0.832805351,15,107776.543,183291.428,6.76,9.322,15.223,46.155,38.621,14,1.39,7.45,10.744,22.892,50.941,26.167,,1.69,39.5,0.38,1.23,25.6,46.9,
